PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Inhibition_Primary at 6 uM
RESULT_TYPE,,,,,,,FLOAT
RESULT_DESCR,,,,,,,%Inhibition in the primary screen at 6 micromolar test compound concentration; relative to Rhok2 in the presence of 13 micromolar Y-27632.
RESULT_UNIT,,,,,,,NONE
12692,857775,5389112,Inactive,1,,,2.3
12693,857776,659130,Inactive,0,,,1.1
12694,857777,659131,Inactive,0,,,-0.4
12695,857778,659132,Inactive,2,,,4
12696,857779,540386,Inactive,0,,,-0.1
12697,857780,659133,Inactive,0,,,-0.9
12698,857781,659134,Inactive,0,,,-8.7
12699,857782,659135,Inactive,0,,,0.5
12700,857783,659136,Inactive,2,,,4.2
12701,857784,659137,Inactive,3,,,5.3
12702,857785,659138,Inactive,0,,,1.1
12703,857786,6603384,Inactive,1,,,3
12704,857787,2894305,Inactive,2,,,4.4
12705,857788,2893616,Inactive,3,,,6.3
12706,857789,6603237,Inactive,0,,,-2
12707,857790,6602703,Inactive,3,,,6.2
12708,857791,6603038,Inactive,0,,,-11.5
12709,857792,6603096,Inactive,3,,,5.9
12710,857793,6603246,Inactive,0,,,-4.5
12711,857794,6603453,Inactive,1,,,1.9
12712,857795,659156,Inactive,0,,,-0.8
12713,857796,659158,Inactive,0,,,-6.3
12714,857797,10648,Inactive,0,,,0.2
12715,857798,659160,Inactive,0,,,-2
12716,857799,1915027,Inactive,4,,,7
12717,857800,659162,Inactive,2,,,4.2
12718,857801,3825,Inactive,0,,,0.4
12719,857802,659163,Inactive,0,,,-0.4
12720,857803,659164,Inactive,0,,,-4.9
12721,857804,659165,Inactive,2,,,4
12722,857805,594596,Inactive,0,,,-2.3
12723,857806,659166,Inactive,2,,,4.8
12724,857807,598513,Inactive,0,,,-0.6
12725,857808,612016,Inactive,0,,,-0.3
12726,857809,659167,Inactive,1,,,2.8
12727,857810,659168,Inactive,3,,,6
12728,857811,659169,Inactive,2,,,3.5
12729,857812,659170,Inactive,0,,,1.6
12730,857813,659171,Inactive,1,,,1.7
12731,857814,659172,Inactive,0,,,-3.1
12732,857815,8570,Inactive,2,,,4.5
12733,857816,120000,Inactive,0,,,-2.7
12734,857817,483833,Inactive,2,,,4.1
12735,857818,659173,Inactive,0,,,1.1
12736,857819,659174,Inactive,0,,,-1.3
12737,857820,21184,Inactive,1,,,2.9
12738,857821,5389113,Inactive,1,,,1.7
12739,857822,286861,Inactive,0,,,-3.2
12740,857823,659176,Inactive,0,,,1.4
12741,857824,659177,Inactive,4,,,7.4
12742,857825,659178,Inactive,0,,,-1.1
12743,857826,659179,Inactive,4,,,7.3
12744,857827,659180,Inactive,2,,,4.1
12745,857828,6867701,Inactive,3,,,5.3
12746,857829,659182,Inactive,0,,,0.1
12747,857830,659183,Inactive,0,,,-12.9
12748,857831,659184,Inactive,1,,,3.3
12749,857833,659185,Inactive,3,,,5.2
12750,857834,659186,Inactive,4,,,7.6
12751,857835,659187,Inactive,5,,,8.7
12752,857836,40230,Inactive,4,,,6.9
12753,857837,5389114,Inactive,3,,,5.3
12754,857838,659189,Inactive,2,,,4.4
12755,857839,5389115,Inactive,0,,,0.3
12756,857840,659191,Inactive,1,,,2.1
12757,857841,659192,Inactive,0,,,-1.6
12758,857842,16411130,Inactive,0,,,-9.9
12759,857843,659194,Inactive,4,,,8.4
12760,857844,333984,Inactive,0,,,-2.9
12761,857845,659195,Inactive,0,,,-0.4
